Title,Region,Host_Game,Gamepad_Compatibility,Status,Notes
Brave - A Warrior's Tale,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Brave - A Warrior's Tale,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Broken Sword - Shadow of the Templars - The Director's Cut,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Brunswick Pro Bowling,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Brunswick Pro Bowling,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Brunswick Zone Cosmic Bowling,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Game doesn't work on EUR region console.[3]
Bully - Scholarship Edition,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game does not support Classic Controller, also works on EUR region console.[3]"
Bust-a-Move,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Even though game supports Classic Controller, it is only used as an additional/secondary controller, game still requires pointer motion controls. Also known as Bust-a-Move BASH! - US.[3]"
Bust-a-Move BASH!,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Same notes as above, also known as Bust-a-Move - EU. Game doesn't work on EUR region console, use EUR version instead.[3]"
Call of Duty 3,USA,Xenoblade Chronicles (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Call of Duty: Black Ops,USA,Xenoblade Chronicles (USA),Works,Works,Game may require CC resync. Also works on EUR region console.[3]
Call of Duty: Modern Warfare - Reflex Edition,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Game doesn't support Classic Controller. Also works on EUR region console.[3]
Call of Duty: Modern Warfare 3,USA,Xenoblade Chronicles (USA),Works,Works,Game may require CC resync. Also works on EUR region console.[3]
Call of Duty: World at War,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Game doesn't support Classic Controller. Also works on EUR region console.[3]
Calling,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Calling,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Captain Rainbow,JAP,Rhythm Heaven Fever (USA),Doesn't work,Works,Some Japanese text doesn't show correctly on USA/EUR consoles due to system language. Issue not present on JAP Wii U.[3]
Cars,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Cartoon Network - Punch Time Explosion XL,USA,Rhythm Heaven Fever (USA),Works,Works,Also works on EUR region console.[3]
Castlevania Judgement,USA,Super Mario Galaxy 2 (EUR),Works,Works,Also works on EUR region console.[3]
Chaotic - Shadow Warriors,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Cocoto Magic Circus,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Conduit 2,USA,Rhythm Heaven Fever (USA),Works,Works,Also works on EUR region console.[3]
Cooking Mama - Cook Off,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Cooking Mama - World Kitchen,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also known as Cooking Mama 2 - World Kitchen.[3]
Game Party 3,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Geometry Wars - Galaxies,USA,Rhythm Heaven Fever (USA),Works,Works,"TeconMoon v3.0.1, use ""Force Classic Controller Connected"" option. Also works on EUR region console.[3]"
Ghost Squad,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Ghost Squad,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Ghostbusters - The Video Game,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Go Vacation,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Go Vacation,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
Godziller Unleashed,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
GoldenEye 007,EUR,Rhythm Heaven Fever (USA),Works,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
GoldenEye 007,USA,Super Mario Galaxy 2 (EUR) / Xenoblade Chronicles (USA),Works,Works,Also works on EUR region console.[3]
Gintama Yorozuya Tuve,JAP,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR/USA region console.[3]
Grand Slam Tennis,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Green Day - Rock Band,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Guilty Gear XX Accent Core,USA,Xenoblade Chronicles (USA),Works,Works,Use Force CC patch. Multiplayer with Wii Remote + Nunchuck may have random button presses.[3]
Ikenie no Yoru (Night of the Sacrifice),JAP,Rhythm Heaven Fever (USA),Doesn't Work,Doesn't Work,Japan-only release. Test indicates it 'does not work' with RHF (USA) host. English fan translation patch exists.
Kirby's Epic Yarn,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,"[3] Gamepad as CC is unable to sync after loading a Classic title, but Gamepad as horizontal Wiimote emulation works as intended.[3]"
Kirby's Return to Dream Land,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,[3] Use the GamePad's power button to safely shut down the console instead. Also works on EUR region console.[3]
Red Steel 2,USA,Xenoblade Chronicles (USA),Doesn't work,Works,"1:1 dump, stock fw.img. Also works on EUR region console.[3]"
Reload,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Resident Evil: The Darkside Chronicles,USA,Xenoblade Chronicles (USA),Doesn't work,Works,Also works on EUR region console.[3]
Resident Evil: The Umbrella Chronicles,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,Also works on EUR region console.[3]
Resident Evil 4,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"With the Gamepad the game starts but we can not go beyond the screen that says to connect a nunchuk. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Resident Evil 4,USA,Xenoblade Chronicles (USA),Works,Works,"TeconMoon v3.0.1, use ""Force Classic Controller Connected"" option.[3]"
Resident Evil Archives: Resident Evil,EUR,Rhythm Heaven Fever (USA),Works,Works,"1:1 dump, stock fw.img. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Resident Evil Archives: Resident Evil,USA,Rhythm Heaven Fever (USA),Works,Works,"1:1 dump, stock fw.img, game doesn't work on EUR region console, use EUR version instead.[3]"
Resident Evil Archives: Resident Evil Zero,EUR,Rhythm Heaven Fever (USA),Works,Works,"1:1 dump, stock fw.img, when ask to connect nunchuck, Classic Controller needs to be re synced. Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Resident Evil Archives: Resident Evil Zero,USA,Rhythm Heaven Fever (USA),Works,Works,"Same notes as EUR version above. Game doesn't work on EUR region console, use EUR version instead.[3]"
Fishing Resort,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,[3][3]
Rock Band,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Rock Band 2,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Rock Band 3,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
The Sims 3,EUR,Rhythm Heaven Fever (USA),Doesn't Work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
The Simpsons Game,EUR,Rhythm Heaven Fever (USA),Doesn't Work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
The Simpsons Game,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,"Game doesn't work on EUR region console, use EUR version instead.[3]"
The Sky Crawlers: Innocent Aces,USA,Rhythm Heaven Fever (USA),Works,Works,Also works on EUR region console.[3]
Thor - God of Thunder,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Thrillville - Off the Rails,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tiger Woods PGA Tour 11,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tiger Woods PGA Tour 12 - The Masters,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tomb Raider - Anniversary,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tony Hawk's Downhill Jam,USA,Rhythm Heaven Fever (USA),Doesn't Work,Issues,Low framerate and too slow anomaly. Also works on EUR region console.[3]
Top Spin 3,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Top Spin 4,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Tornado Outbreak,USA,Rhythm Heaven Fever (USA),Doesn't Work,Works,Also works on EUR region console.[3]
Toshinden,JAP,Rhythm Heaven Fever (USA),Works,Works,"Game will boot to black screen on EUR/PAL console, NTSC to PAL video mode must be patched. Classic Controller re sync is required. Some in game Japanese txt will be gibberish on EUR/USA consoles.[3]"
Zack & Wiki - Quest For Barbaros' Treasure,EUR,Rhythm Heaven Fever (USA),Doesn't work,Works,"Game may not work on USA region console, try patching ISO with RegionFrii and PAL to NTSC Video Mode patch or use USA version instead.[3]"
Zack & Wiki - Quest For Barbaros' Treasure,USA,Rhythm Heaven Fever (USA),Doesn't work,Works,[3] [3]
처음 만나는 Wii 팩 (Wii Play),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. Wiimote 포인터/모션 필수. CC 미지원. Gamepad 단독 플레이 절대 불가. 인젝션 실익 없음. RegionFrii 패치 필수.
Wii Sports,KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음.[3] 모션 컨트롤 필수. Gamepad 지원 불가. RegionFrii 패치 필수. (참고: Wii U 전용 $Wii Sports Club$이 별도 존재).
마리오와 소닉 베이징 올림픽 (Mario & Sonic at the Olympic Games),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. Wiimote 모션/포인터 컨트롤 사용. CC 미지원. Gamepad 플레이 불가. RegionFrii 패치 필수.
Wii로 다함께! 말랑말랑 두뇌교실 (Big Brain Academy: Wii Degree),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works,"[2] 전문가 분석: USA/EUR 버전[3]이 $Works$, $Gamepad: Doesn't Work$로 확인됨. Wiimote 포인터 필수. Gamepad 플레이 불가. RegionFrii 패치 필수."
슈퍼 마리오 Wii 갤럭시 어드벤처 (Super Mario Galaxy),KOR,(N/A - Official VC),Works (Official),Works (Official),[2] 전문가 분석: 공식 Wii U eShop VC로 출시됨.[3] 인젝션 불필요. 공식 버전은 게임패드 포인터 에뮬레이션을 지원.
마리오 파티 8 (Mario Party 8),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. Wiimote 모션/포인터 활용 미니게임. CC 미지원. Gamepad 플레이 불가. RegionFrii 패치 필수.
Wii Fit,KOR,Rhythm Heaven Fever (USA),Doesn't Work,Untested,[2] 전문가 분석: GBATemp 목록에 없음. Wii 밸런스 보드 필수. VC 환경에서 주변기기 인식 보장 안됨. 구동 실패 가능성 높음. RegionFrii 패치 필수.
슈퍼 페이퍼 마리오 (Super Paper Mario),KOR,(N/A - Official VC),Works (Official),Works (Official),[2] 전문가 분석: 공식 Wii U eShop VC로 출시됨.[3] 인젝션 불필요. 공식 버전은 Wiimote(가로) 및 CC 입력 모두 지원.
마리오 카트 Wii (Mario Kart Wii),KOR,Rhythm Heaven Fever (USA),Works,Works (Offline),"[2] 전문가 분석: CC 완벽 지원. Gamepad 플레이 최적화. [치명적 문제] Wiimmfi(커스텀 온라인 서버) 작동 불가 (WiiVC의 TLS 프로토콜 미지원).[4, 5, 6] 오프라인 전용. RegionFrii 패치 필수."
춤춰라 메이드 인 와리오 (WarioWare: Smooth Moves),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. Wiimote 모션 극한 활용. Gamepad 플레이 절대 불가. RegionFrii 패치 필수.
젤다의 전설 황혼의 공주 (The Legend of Zelda: Twilight Princess),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),"[2] 전문가 분석: (Wii U HD 리마스터 아닌 Wii 버전 기준). GBATemp 목록에 없음.[3] 원본이 모션/포인터 컨트롤 사용, CC 미지원. Gamepad 플레이 불가. Wiimote+Nunchuck 필요. RegionFrii 패치 필수."
마리오와 소닉 밴쿠버 동계올림픽 (Mario & Sonic at the Olympic Winter Games),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Untested,[2] 전문가 분석: GBATemp 목록에 없음. 모션 컨트롤 기반. 밸런스 보드 지원[2] 가능성 있어 주변기기 인식 문제 발생 가능. RegionFrii 패치 필수.
Wii Music,KOR,Rhythm Heaven Fever (USA),Doesn't Work,Untested,[2] 전문가 분석: GBATemp 목록에 없음. 모션 컨트롤 및 밸런스 보드(드럼) 지원. 밸런스 보드 인식 문제로 $Untested$. RegionFrii 패치 필수.
타운으로 놀러가요 동물의 숲 (Animal Crossing: City Folk),KOR,Rhythm Heaven Fever (USA),Issues,Works,"[2] 전문가 분석: USA 버전[3] $Works$ / $Issues$ 확인. Gamepad 사용 시 ""확장 컨트롤러"" 메시지 표시. 이름 입력 화면에서 모션(포인터) 필요.[3] Gamepad 단독 진행 불가. Wiimote 필수. RegionFrii 패치 필수."
마리오 파워 사커 (Mario Strikers Charged),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. Wiimote+Nunchuck 모션 컨트롤 사용. CC 미지원. Gamepad 플레이 불가. RegionFrii 패치 필수.
대난투 스매시브라더스 X (Super Smash Bros. Brawl),KOR,Rhythm Heaven Fever (USA),Works,Works,[2] 전문가 분석: GBATemp 목록에 없음. CC 완벽 지원. Gamepad 플레이에 이상적. RegionFrii 패치 필수.
Wii Sports Resort,KOR,Rhythm Heaven Fever (USA),Doesn't Work,Untested,"[2] 전문가 분석: GBATemp 목록에 없음.[3] Wii 모션 플러스 필수 게임.[2, 7] M+ 주변기기 인식 미검증. 구동 실패 가능성 높음. RegionFrii 패치 필수."
뉴 슈퍼 마리오브라더스 Wii (New Super Mario Bros. Wii),KOR,(N/A - Official VC),Works (Official),Works (Official),[2] 전문가 분석: 공식 Wii U eShop VC로 출시됨.[3] 인젝션 불필요.
링크의 사격 트레이닝 + Wii 재퍼 (Link's Crossbow Training),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. 건슈팅(광선총) 게임. Wiimote 포인터 필수. Gamepad 플레이 불가. RegionFrii 패치 필수.
Wii Fit Plus,KOR,Rhythm Heaven Fever (USA),Doesn't Work,Untested,[2] 전문가 분석: GBATemp 목록에 없음. $Wii Fit$과 동일. 밸런스 보드 필수. 주변기기 인식 문제로 $Untested$. RegionFrii 패치 필수.
슈퍼 마리오 25주년 스페셜 에디션 (Super Mario All-Stars),KOR,Rhythm Heaven Fever (USA),Works,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. SNES 에뮬레이터(슈퍼 마리오 컬렉션). CC 완벽 지원. Gamepad 플레이에 이상적. RegionFrii 패치 필수.
슈퍼 마리오 Wii 2 갤럭시 어드벤처 투게더 (Super Mario Galaxy 2),KOR,(N/A - Official VC),Works (Official),Works (Official),[2] 전문가 분석: 공식 Wii U eShop VC로 출시됨.[3] 인젝션 불필요.
와리오랜드 셰이킹 (Wario Land: Shake It!),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. Wiimote(가로) + '흔들기' 모션 필수. CC 미지원. Gamepad 플레이 불가. RegionFrii 패치 필수.
Wii Party,KOR,Rhythm Heaven Fever (USA),Doesn't Work,Untested,[2] 전문가 분석: GBATemp 목록에 없음.[3] Wiimote 모션/포인터 필수. Gamepad(CC) 미지원. 인젝션 실익 없음. RegionFrii 패치 필수.
털실 커비 이야기 (Kirby's Epic Yarn),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works,[2] 전문가 분석: USA 버전[3]이 $Works$ 확인. Wiimote(가로) 플레이. CC 미지원. Gamepad 플레이 불가. RegionFrii 패치 필수.
피크민 (Pikmin - New Play Control!),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. Wiimote 포인터 조작(New Play Control!) 버전. 포인터 필수. Gamepad 플레이 불가. RegionFrii 패치 필수.
젤다의 전설 스카이워드 소드 (The Legend of Zelda: Skyward Sword),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Untested,"[2] 전문가 분석: GBATemp 목록에 없음. Wii 모션 플러스 필수 게임.[2, 7] $Wii Sports Resort$와 동일 (M+ 호환성 미검증). 구동 실패 가능성 높음. RegionFrii 패치 필수."
Wii 리모컨 플러스로 즐기는 버라이어티 게임 박스 (Wii Play: Motion),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works,"[2] 전문가 분석: GBATemp USB 로더 목록[8]에서 $Works$ 확인 (VC 목록[3]엔 없음). Wii 모션 플러스 필수 게임.[2, 7] M+ 작동 가능성 있음($Red Steel 2$ 사례). Gamepad 플레이는 불가. RegionFrii 패치 필수."
마리오와 소닉 런던 올림픽 (Mario & Sonic at the London 2012 Olympic Games),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works (예상),[2] 전문가 분석: GBATemp 목록에 없음. 모션 컨트롤 기반. Gamepad 플레이 불가. RegionFrii 패치 필수.
별의 커비 Wii (Kirby's Return to Dream Land),KOR,Rhythm Heaven Fever (USA),Doesn't Work,Works,[2] 전문가 분석: 미국판($Kirby's Return to Dream Land$)[3] $Works$ 확인. Wiimote(가로) 기반. CC 미지원. Gamepad 플레이 불가. RegionFrii 패치 필수.
